Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_0603_1608Metric_no_text,106.68,-92.96,45.0,top
D2,LED,LED_0603_1608Metric_no_text,108.78,-92.96,45.0,top
D3,LED,LED_0603_1608Metric_no_text,110.88,-92.96,45.0,top
D4,LED,LED_0603_1608Metric_no_text,112.98,-92.96,45.0,top
D5,LED,LED_0603_1608Metric_no_text,115.08,-92.96,45.0,top
D6,LED,LED_0603_1608Metric_no_text,117.18,-92.96,45.0,top
D7,LED,LED_0603_1608Metric_no_text,119.28,-92.96,45.0,top
D8,LED,LED_0603_1608Metric_no_text,121.38,-92.96,45.0,top
D9,LED,LED_0603_1608Metric_no_text,123.48,-92.96,45.0,top
D10,LED,LED_0603_1608Metric_no_text,125.58,-92.96,45.0,top
D11,LED,LED_0603_1608Metric_no_text,127.68,-92.96,45.0,top
D12,LED,LED_0603_1608Metric_no_text,129.78,-92.96,45.0,top
D13,LED,LED_0603_1608Metric_no_text,131.88,-92.96,45.0,top
D14,LED,LED_0603_1608Metric_no_text,133.98,-92.96,45.0,top
D15,LED,LED_0603_1608Metric_no_text,136.08,-92.96,45.0,top
D16,LED,LED_0603_1608Metric_no_text,138.18,-92.96,45.0,top
D17,LED,LED_0603_1608Metric_no_text,106.68,-95.06,45.0,top
D18,LED,LED_0603_1608Metric_no_text,108.78,-95.06,45.0,top
D19,LED,LED_0603_1608Metric_no_text,110.88,-95.06,45.0,top
D20,LED,LED_0603_1608Metric_no_text,112.98,-95.06,45.0,top
D21,LED,LED_0603_1608Metric_no_text,115.08,-95.06,45.0,top
D22,LED,LED_0603_1608Metric_no_text,117.18,-95.06,45.0,top
D23,LED,LED_0603_1608Metric_no_text,119.28,-95.06,45.0,top
D24,LED,LED_0603_1608Metric_no_text,121.38,-95.06,45.0,top
D25,LED,LED_0603_1608Metric_no_text,123.48,-95.06,45.0,top
D26,LED,LED_0603_1608Metric_no_text,125.58,-95.06,45.0,top
D27,LED,LED_0603_1608Metric_no_text,127.68,-95.06,45.0,top
D28,LED,LED_0603_1608Metric_no_text,129.78,-95.06,45.0,top
D29,LED,LED_0603_1608Metric_no_text,131.88,-95.06,45.0,top
D30,LED,LED_0603_1608Metric_no_text,133.98,-95.06,45.0,top
D31,LED,LED_0603_1608Metric_no_text,136.08,-95.06,45.0,top
D32,LED,LED_0603_1608Metric_no_text,138.18,-95.06,45.0,top
D33,LED,LED_0603_1608Metric_no_text,106.68,-97.16,45.0,top
D34,LED,LED_0603_1608Metric_no_text,108.78,-97.16,45.0,top
D35,LED,LED_0603_1608Metric_no_text,110.88,-97.16,45.0,top
D36,LED,LED_0603_1608Metric_no_text,112.98,-97.16,45.0,top
D37,LED,LED_0603_1608Metric_no_text,115.08,-97.16,45.0,top
D38,LED,LED_0603_1608Metric_no_text,117.18,-97.16,45.0,top
D39,LED,LED_0603_1608Metric_no_text,119.28,-97.16,45.0,top
D40,LED,LED_0603_1608Metric_no_text,121.38,-97.16,45.0,top
D41,LED,LED_0603_1608Metric_no_text,123.48,-97.16,45.0,top
D42,LED,LED_0603_1608Metric_no_text,125.58,-97.16,45.0,top
D43,LED,LED_0603_1608Metric_no_text,127.68,-97.16,45.0,top
D44,LED,LED_0603_1608Metric_no_text,129.78,-97.16,45.0,top
D45,LED,LED_0603_1608Metric_no_text,131.88,-97.16,45.0,top
D46,LED,LED_0603_1608Metric_no_text,133.98,-97.16,45.0,top
D47,LED,LED_0603_1608Metric_no_text,136.08,-97.16,45.0,top
D48,LED,LED_0603_1608Metric_no_text,138.18,-97.16,45.0,top
D49,LED,LED_0603_1608Metric_no_text,106.68,-99.26,45.0,top
D50,LED,LED_0603_1608Metric_no_text,108.78,-99.26,45.0,top
D51,LED,LED_0603_1608Metric_no_text,110.88,-99.26,45.0,top
D52,LED,LED_0603_1608Metric_no_text,112.98,-99.26,45.0,top
D53,LED,LED_0603_1608Metric_no_text,115.08,-99.26,45.0,top
D54,LED,LED_0603_1608Metric_no_text,117.18,-99.26,45.0,top
D55,LED,LED_0603_1608Metric_no_text,119.28,-99.26,45.0,top
D56,LED,LED_0603_1608Metric_no_text,121.38,-99.26,45.0,top
D57,LED,LED_0603_1608Metric_no_text,123.48,-99.26,45.0,top
D58,LED,LED_0603_1608Metric_no_text,125.58,-99.26,45.0,top
