Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_0201_0603Metric NOTEXT",109.676274,-92.548726,45.000000,top
"D2","LED","LED_0201_0603Metric NOTEXT",111.176274,-92.548726,45.000000,top
"D3","LED","LED_0201_0603Metric NOTEXT",112.676274,-92.548726,45.000000,top
"D4","LED","LED_0201_0603Metric NOTEXT",114.176274,-92.548726,45.000000,top
"D5","LED","LED_0201_0603Metric NOTEXT",115.676274,-92.548726,45.000000,top
"D6","LED","LED_0201_0603Metric NOTEXT",117.176274,-92.548726,45.000000,top
"D7","LED","LED_0201_0603Metric NOTEXT",118.676274,-92.548726,45.000000,top
"D8","LED","LED_0201_0603Metric NOTEXT",120.176274,-92.548726,45.000000,top
"D9","LED","LED_0201_0603Metric NOTEXT",121.676274,-92.548726,45.000000,top
"D10","LED","LED_0201_0603Metric NOTEXT",123.176274,-92.548726,45.000000,top
"D11","LED","LED_0201_0603Metric NOTEXT",124.676274,-92.548726,45.000000,top
"D12","LED","LED_0201_0603Metric NOTEXT",126.176274,-92.548726,45.000000,top
"D13","LED","LED_0201_0603Metric NOTEXT",127.676274,-92.548726,45.000000,top
"D14","LED","LED_0201_0603Metric NOTEXT",129.176274,-92.548726,45.000000,top
"D15","LED","LED_0201_0603Metric NOTEXT",130.676274,-92.548726,45.000000,top
"D16","LED","LED_0201_0603Metric NOTEXT",132.176274,-92.548726,45.000000,top
"D17","LED","LED_0201_0603Metric NOTEXT",109.676274,-94.048726,45.000000,top
"D18","LED","LED_0201_0603Metric NOTEXT",111.176274,-94.048726,45.000000,top
"D19","LED","LED_0201_0603Metric NOTEXT",112.676274,-94.048726,45.000000,top
"D20","LED","LED_0201_0603Metric NOTEXT",114.176274,-94.048726,45.000000,top
"D21","LED","LED_0201_0603Metric NOTEXT",115.676274,-94.048726,45.000000,top
"D22","LED","LED_0201_0603Metric NOTEXT",117.176274,-94.048726,45.000000,top
"D23","LED","LED_0201_0603Metric NOTEXT",118.676274,-94.048726,45.000000,top
"D24","LED","LED_0201_0603Metric NOTEXT",120.176274,-94.048726,45.000000,top
"D25","LED","LED_0201_0603Metric NOTEXT",121.676274,-94.048726,45.000000,top
"D26","LED","LED_0201_0603Metric NOTEXT",123.176274,-94.048726,45.000000,top
"D27","LED","LED_0201_0603Metric NOTEXT",124.676274,-94.048726,45.000000,top
"D28","LED","LED_0201_0603Metric NOTEXT",126.176274,-94.048726,45.000000,top
"D29","LED","LED_0201_0603Metric NOTEXT",127.676274,-94.048726,45.000000,top
"D30","LED","LED_0201_0603Metric NOTEXT",129.176274,-94.048726,45.000000,top
"D31","LED","LED_0201_0603Metric NOTEXT",130.676274,-94.048726,45.000000,top
"D32","LED","LED_0201_0603Metric NOTEXT",132.176274,-94.048726,45.000000,top
"D33","LED","LED_0201_0603Metric NOTEXT",109.676274,-95.548726,45.000000,top
"D34","LED","LED_0201_0603Metric NOTEXT",111.176274,-95.548726,45.000000,top
"D35","LED","LED_0201_0603Metric NOTEXT",112.676274,-95.548726,45.000000,top
"D36","LED","LED_0201_0603Metric NOTEXT",114.176274,-95.548726,45.000000,top
"D37","LED","LED_0201_0603Metric NOTEXT",115.676274,-95.548726,45.000000,top
"D38","LED","LED_0201_0603Metric NOTEXT",117.176274,-95.548726,45.000000,top
"D39","LED","LED_0201_0603Metric NOTEXT",118.676274,-95.548726,45.000000,top
"D40","LED","LED_0201_0603Metric NOTEXT",120.176274,-95.548726,45.000000,top
"D41","LED","LED_0201_0603Metric NOTEXT",121.676274,-95.548726,45.000000,top
"D42","LED","LED_0201_0603Metric NOTEXT",123.176274,-95.548726,45.000000,top
"D43","LED","LED_0201_0603Metric NOTEXT",124.676274,-95.548726,45.000000,top
"D44","LED","LED_0201_0603Metric NOTEXT",126.176274,-95.548726,45.000000,top
"D45","LED","LED_0201_0603Metric NOTEXT",127.676274,-95.548726,45.000000,top
"D46","LED","LED_0201_0603Metric NOTEXT",129.176274,-95.548726,45.000000,top
"D47","LED","LED_0201_0603Metric NOTEXT",130.676274,-95.548726,45.000000,top
"D48","LED","LED_0201_0603Metric NOTEXT",132.176274,-95.548726,45.000000,top
"D49","LED","LED_0201_0603Metric NOTEXT",109.676274,-97.048726,45.000000,top
"D50","LED","LED_0201_0603Metric NOTEXT",111.176274,-97.048726,45.000000,top
"D51","LED","LED_0201_0603Metric NOTEXT",112.676274,-97.048726,45.000000,top
"D52","LED","LED_0201_0603Metric NOTEXT",114.176274,-97.048726,45.000000,top
"D53","LED","LED_0201_0603Metric NOTEXT",115.676274,-97.048726,45.000000,top
"D54","LED","LED_0201_0603Metric NOTEXT",117.176274,-97.048726,45.000000,top
"D55","LED","LED_0201_0603Metric NOTEXT",118.676274,-97.048726,45.000000,top
"D56","LED","LED_0201_0603Metric NOTEXT",120.176274,-97.048726,45.000000,top
"D57","LED","LED_0201_0603Metric NOTEXT",121.676274,-97.048726,45.000000,top
"D58","LED","LED_0201_0603Metric NOTEXT",123.176274,-97.048726,45.000000,top
"D59","LED","LED_0201_0603Metric NOTEXT",124.676274,-97.048726,45.000000,top
"D60","LED","LED_0201_0603Metric NOTEXT",126.176274,-97.048726,45.000000,top
"D61","LED","LED_0201_0603Metric NOTEXT",127.676274,-97.048726,45.000000,top
"D62","LED","LED_0201_0603Metric NOTEXT",129.176274,-97.048726,45.000000,top
"D63","LED","LED_0201_0603Metric NOTEXT",130.676274,-97.048726,45.000000,top
"D64","LED","LED_0201_0603Metric NOTEXT",132.176274,-97.048726,45.000000,top
"D65","LED","LED_0201_0603Metric NOTEXT",109.676274,-98.548726,45.000000,top
"D66","LED","LED_0201_0603Metric NOTEXT",111.176274,-98.548726,45.000000,top
"D67","LED","LED_0201_0603Metric NOTEXT",112.676274,-98.548726,45.000000,top
"D68","LED","LED_0201_0603Metric NOTEXT",114.176274,-98.548726,45.000000,top
"D69","LED","LED_0201_0603Metric NOTEXT",115.676274,-98.548726,45.000000,top
"D70","LED","LED_0201_0603Metric NOTEXT",117.176274,-98.548726,45.000000,top
"D71","LED","LED_0201_0603Metric NOTEXT",118.676274,-98.548726,45.000000,top
"D72","LED","LED_0201_0603Metric NOTEXT",120.176274,-98.548726,45.000000,top
"D73","LED","LED_0201_0603Metric NOTEXT",121.676274,-98.548726,45.000000,top
"D74","LED","LED_0201_0603Metric NOTEXT",123.176274,-98.548726,45.000000,top
"D75","LED","LED_0201_0603Metric NOTEXT",124.676274,-98.548726,45.000000,top
"D76","LED","LED_0201_0603Metric NOTEXT",126.176274,-98.548726,45.000000,top
"D77","LED","LED_0201_0603Metric NOTEXT",127.676274,-98.548726,45.000000,top
"D78","LED","LED_0201_0603Metric NOTEXT",129.176274,-98.548726,45.000000,top
"D79","LED","LED_0201_0603Metric NOTEXT",130.676274,-98.548726,45.000000,top
"D80","LED","LED_0201_0603Metric NOTEXT",132.176274,-98.548726,45.000000,top
"D81","LED","LED_0201_0603Metric NOTEXT",109.676274,-100.048726,45.000000,top
"D82","LED","LED_0201_0603Metric NOTEXT",111.176274,-100.048726,45.000000,top
"D83","LED","LED_0201_0603Metric NOTEXT",112.676274,-100.048726,45.000000,top
"D84","LED","LED_0201_0603Metric NOTEXT",114.176274,-100.048726,45.000000,top
"D85","LED","LED_0201_0603Metric NOTEXT",115.676274,-100.048726,45.000000,top
"D86","LED","LED_0201_0603Metric NOTEXT",117.176274,-100.048726,45.000000,top
"D87","LED","LED_0201_0603Metric NOTEXT",118.676274,-100.048726,45.000000,top
"D88","LED","LED_0201_0603Metric NOTEXT",120.176274,-100.048726,45.000000,top
"D89","LED","LED_0201_0603Metric NOTEXT",121.676274,-100.048726,45.000000,top
"D90","LED","LED_0201_0603Metric NOTEXT",123.176274,-100.048726,45.000000,top
"D91","LED","LED_0201_0603Metric NOTEXT",124.676274,-100.048726,45.000000,top
"D92","LED","LED_0201_0603Metric NOTEXT",126.176274,-100.048726,45.000000,top
"D93","LED","LED_0201_0603Metric NOTEXT",127.676274,-100.048726,45.000000,top
"D94","LED","LED_0201_0603Metric NOTEXT",129.176274,-100.048726,45.000000,top
"D95","LED","LED_0201_0603Metric NOTEXT",130.676274,-100.048726,45.000000,top
"D96","LED","LED_0201_0603Metric NOTEXT",132.176274,-100.048726,45.000000,top
"D97","LED","LED_0201_0603Metric NOTEXT",109.676274,-101.548726,45.000000,top
"D98","LED","LED_0201_0603Metric NOTEXT",111.176274,-101.548726,45.000000,top
"D99","LED","LED_0201_0603Metric NOTEXT",112.676274,-101.548726,45.000000,top
"D100","LED","LED_0201_0603Metric NOTEXT",114.176274,-101.548726,45.000000,top
